game_id,official_name,official_type
2018020001,Jon McIsaac,Referee
2018020001,Francis Charron,Referee
2018020001,Scott Driscoll,Linesman
2018020001,Mark Shewchyk,Linesman
2018020002,Jean Hebert,Referee
2018020002,Pierre Lambert,Referee
2018020002,Scott Cherrey,Linesman
2018020002,Brad Kovachik,Linesman
2018020003,Frederick L'Ecuyer,Referee
2018020003,Marc Joannette,Referee
2018020003,Travis Gawryletz,Linesman
2018020003,Kiel Murchison,Linesman
2018020004,Chris Schlenker,Referee
2018020004,Brad Watson,Referee
2018020004,Trent Knorr,Linesman
2018020004,Tony Sericolo,Linesman
2018020001,Jon McIsaac,Referee
2018020001,Francis Charron,Referee
2018020001,Scott Driscoll,Linesman
2018020001,Mark Shewchyk,Linesman
2018020002,Jean Hebert,Referee
2018020002,Pierre Lambert,Referee
2018020002,Scott Cherrey,Linesman
2018020002,Brad Kovachik,Linesman
2018020003,Frederick L'Ecuyer,Referee
2018020003,Marc Joannette,Referee
2018020003,Travis Gawryletz,Linesman
2018020003,Kiel Murchison,Linesman
2018020004,Chris Schlenker,Referee
2018020004,Brad Watson,Referee
2018020004,Trent Knorr,Linesman
2018020004,Tony Sericolo,Linesman
2018020005,Justin StPierre,Referee
2018020005,Steve Kozari,Referee
2018020005,Steve Miller,Linesman
2018020005,Kory Nagy,Linesman
2018020007,Eric Furlatt,Referee
2018020007,Kendrick Nicholson,Referee
2018020007,Andrew Smith,Linesman
2018020007,Tim Nowak,Linesman
2018020008,Tim Peel,Referee
2018020008,Dean Morton,Referee
2018020008,Scott Cherrey,Linesman
2018020008,Brad Kovachik,Linesman
2018020006,Chris Rooney,Referee
2018020006,Ghislain Hebert,Referee
2018020006,Greg Devorski,Linesman
2018020006,James Tobias,Linesman
2018020009,Garrett Rank,Referee
2018020009,Brian Pochmara,Referee
2018020009,Shandor Alphonso,Linesman
2018020009,Derek Nansen,Linesman
2018020010,Gord Dwyer,Referee
2018020010,TJ Luxmore,Referee
2018020010,Devin Berg,Linesman
2018020010,David Brisebois,Linesman
2018020011,Dan O'Halloran,Referee
2018020011,Jake Brenk,Referee
2018020011,Libor Suchanek,Linesman
2018020011,Brian Mach,Linesman
2018020012,Dan O'Rourke,Referee
2018020012,Trevor Hanson,Referee
2018020012,Ryan Galloway,Linesman
2018020012,Brian Murphy,Linesman
2018020013,Kelly Sutherland,Referee
2018020013,Graham Skilliter,Referee
2018020013,Derek Amell,Linesman
2018020013,Bryan Pancich,Linesman
2018020014,Chris Schlenker,Referee
2018020014,Brad Watson,Referee
2018020014,Trent Knorr,Linesman
2018020014,Tony Sericolo,Linesman
2018020005,Justin StPierre,Referee
2018020005,Steve Kozari,Referee
2018020005,Steve Miller,Linesman
2018020005,Kory Nagy,Linesman
2018020007,Eric Furlatt,Referee
2018020007,Kendrick Nicholson,Referee
2018020007,Andrew Smith,Linesman
2018020007,Tim Nowak,Linesman
2018020008,Tim Peel,Referee
2018020008,Dean Morton,Referee
2018020008,Scott Cherrey,Linesman
2018020008,Brad Kovachik,Linesman
2018020006,Chris Rooney,Referee
2018020006,Ghislain Hebert,Referee
2018020006,Greg Devorski,Linesman
2018020006,James Tobias,Linesman
2018020009,Garrett Rank,Referee
2018020009,Brian Pochmara,Referee
2018020009,Shandor Alphonso,Linesman
2018020009,Derek Nansen,Linesman
2018020010,Gord Dwyer,Referee
2018020010,TJ Luxmore,Referee
2018020010,Devin Berg,Linesman
2018020010,David Brisebois,Linesman
2018020011,Dan O'Halloran,Referee
2018020011,Jake Brenk,Referee
2018020011,Libor Suchanek,Linesman
2018020011,Brian Mach,Linesman
2018020012,Dan O'Rourke,Referee
2018020012,Trevor Hanson,Referee
2018020012,Ryan Galloway,Linesman
2018020012,Brian Murphy,Linesman
