play_id,penaltySeverity,penaltyMinutes
2018020001_60,Minor,2
2018020001_127,Minor,2
2018020001_156,Minor,2
2018020001_160,Bench Minor,2
2018020001_215,Minor,2
2018020001_222,Minor,2
2018020001_268,Minor,2
2018020002_13,Minor,2
2018020002_64,Minor,2
2018020002_146,Minor,2
2018020002_166,Major,5
2018020002_167,Minor,2
2018020002_168,Major,5
2018020002_207,Minor,2
2018020002_216,Minor,2
2018020002_267,Minor,2
2018020002_297,Major,5
2018020002_298,Minor,2
2018020002_299,Major,5
2018020002_300,Misconduct,10
2018020003_14,Minor,2
2018020003_25,Major,5
2018020003_26,Major,5
2018020003_67,Minor,2
2018020003_133,Minor,2
2018020003_175,Minor,2
2018020003_179,Minor,2
2018020003_218,Minor,2
2018020003_243,Minor,2
2018020003_271,Minor,2
2018020004_28,Minor,2
2018020004_32,Minor,2
2018020004_36,Minor,2
2018020004_184,Minor,2
2018020004_197,Minor,2
2018020004_261,Minor,2
2018020001_60,Minor,2
2018020001_127,Minor,2
2018020001_156,Minor,2
2018020001_160,Bench Minor,2
2018020001_215,Minor,2
2018020001_222,Minor,2
2018020001_268,Minor,2
2018020002_13,Minor,2
2018020002_64,Minor,2
2018020002_146,Minor,2
2018020002_166,Major,5
2018020002_167,Minor,2
2018020002_168,Major,5
2018020002_207,Minor,2
2018020002_216,Minor,2
2018020002_267,Minor,2
2018020002_297,Major,5
2018020002_298,Minor,2
2018020002_299,Major,5
2018020002_300,Misconduct,10
2018020003_14,Minor,2
2018020003_25,Major,5
2018020003_26,Major,5
2018020003_67,Minor,2
2018020003_133,Minor,2
2018020003_175,Minor,2
2018020003_179,Minor,2
2018020003_218,Minor,2
2018020003_243,Minor,2
2018020003_271,Minor,2
2018020004_28,Minor,2
2018020004_32,Minor,2
2018020004_36,Minor,2
2018020004_184,Minor,2
2018020004_197,Minor,2
2018020004_261,Minor,2
2018020005_73,Minor,2
2018020005_119,Minor,2
2018020005_302,Minor,2
2018020005_303,Minor,2
2018020005_305,Minor,2
2018020007_37,Minor,2
2018020007_110,Minor,2
2018020007_155,Minor,2
2018020007_179,Minor,2
2018020007_251,Minor,2
2018020007_267,Minor,2
2018020007_297,Minor,2
2018020007_355,Minor,2
2018020008_27,Minor,2
2018020008_62,Minor,2
2018020008_166,Minor,2
2018020008_189,Minor,2
2018020008_272,Minor,2
2018020008_354,Minor,2
2018020006_75,Minor,2
2018020006_160,Minor,2
2018020006_161,Minor,2
2018020006_312,Minor,2
2018020006_327,Minor,2
2018020006_328,Bench Minor,2
2018020009_113,Minor,2
2018020009_232,Bench Minor,2
2018020009_237,Minor,2
2018020009_240,Minor,2
2018020009_308,Minor,2
2018020009_350,Minor,2
2018020010_33,Minor,2
2018020010_79,Minor,2
2018020010_84,Minor,2
2018020010_104,Minor,2
2018020010_189,Minor,2
2018020010_218,Minor,2
2018020010_229,Minor,2
2018020010_241,Minor,2
2018020010_275,Minor,2
2018020011_28,Minor,2
2018020011_177,Minor,2
2018020011_188,Minor,2
2018020011_211,Minor,2
2018020011_248,Minor,2
2018020011_283,Minor,2
2018020012_7,Minor,2
2018020012_14,Minor,2
2018020012_83,Minor,2
2018020012_160,Minor,2
2018020012_161,Minor,2
2018020012_190,Minor,2
2018020012_191,Minor,2
2018020012_246,Minor,2
2018020013_49,Minor,2
2018020013_50,Minor,2
2018020013_78,Minor,2
2018020013_104,Bench Minor,2
2018020013_135,Minor,2
2018020013_136,Minor,2
2018020013_140,Minor,2
2018020013_197,Minor,2
2018020013_225,Minor,2
2018020013_293,Bench Minor,2
2018020014_48,Minor,2
2018020014_114,Minor,2
2018020014_178,Minor,2
2018020014_179,Minor,2
2018020014_180,Minor,2
2018020014_226,Minor,2
2018020014_231,Minor,2
2018020014_244,Minor,2
2018020014_256,Minor,2
2018020005_73,Minor,2
2018020005_119,Minor,2
2018020005_302,Minor,2
2018020005_303,Minor,2
2018020005_305,Minor,2
2018020007_37,Minor,2
2018020007_110,Minor,2
2018020007_155,Minor,2
2018020007_179,Minor,2
2018020007_251,Minor,2
2018020007_267,Minor,2
2018020007_297,Minor,2
2018020007_355,Minor,2
2018020008_27,Minor,2
2018020008_62,Minor,2
2018020008_166,Minor,2
2018020008_189,Minor,2
2018020008_272,Minor,2
2018020008_354,Minor,2
2018020006_75,Minor,2
2018020006_160,Minor,2
2018020006_161,Minor,2
2018020006_312,Minor,2
2018020006_327,Minor,2
2018020006_328,Bench Minor,2
2018020009_113,Minor,2
2018020009_232,Bench Minor,2
2018020009_237,Minor,2
2018020009_240,Minor,2
2018020009_308,Minor,2
2018020009_350,Minor,2
2018020010_33,Minor,2
2018020010_79,Minor,2
2018020010_84,Minor,2
2018020010_104,Minor,2
2018020010_189,Minor,2
2018020010_218,Minor,2
2018020010_229,Minor,2
2018020010_241,Minor,2
2018020010_275,Minor,2
2018020011_28,Minor,2
2018020011_177,Minor,2
2018020011_188,Minor,2
2018020011_211,Minor,2
2018020011_248,Minor,2
2018020011_283,Minor,2
2018020012_7,Minor,2
2018020012_14,Minor,2
2018020012_83,Minor,2
2018020012_160,Minor,2
2018020012_161,Minor,2
2018020012_190,Minor,2
2018020012_191,Minor,2
2018020012_246,Minor,2
2018020013_49,Minor,2
2018020013_50,Minor,2
2018020013_78,Minor,2
2018020013_104,Bench Minor,2
2018020013_135,Minor,2
2018020013_136,Minor,2
2018020013_140,Minor,2
2018020013_197,Minor,2
2018020013_225,Minor,2
2018020013_293,Bench Minor,2
2018020014_48,Minor,2
2018020014_114,Minor,2
2018020014_178,Minor,2
2018020014_179,Minor,2
2018020014_180,Minor,2
2018020014_226,Minor,2
2018020014_231,Minor,2
2018020014_244,Minor,2
2018020014_256,Minor,2
2018020015_118,Minor,2
2018020015_186,Minor,2
2018020015_214,Minor,2
2018020015_231,Minor,2
2018020016_30,Minor,2
2018020016_159,Minor,2
2018020016_202,Minor,2
2018020016_204,Minor,2
2018020016_223,Minor,2
2018020016_247,Minor,2
2018020016_277,Minor,2
2018020016_301,Minor,2
2018020015_118,Minor,2
2018020015_186,Minor,2
2018020015_214,Minor,2
2018020015_231,Minor,2
2018020016_30,Minor,2
2018020016_159,Minor,2
2018020016_202,Minor,2
2018020016_204,Minor,2
