game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,startRinkSide
2018020001,8,away,False,OT,Claude Julien,2.0,36.0,34.0,6.0,4.0,1.0,41.3,10.0,5.0,16.0,left
2018020001,10,home,True,OT,Mike Babcock,3.0,26.0,18.0,8.0,3.0,1.0,58.7,21.0,5.0,24.0,left
2018020002,6,away,False,REG,Bruce Cassidy,0.0,25.0,28.0,32.0,2.0,0.0,68.3,3.0,5.0,12.0,left
2018020002,15,home,True,REG,Todd Reirden,7.0,37.0,16.0,14.0,6.0,4.0,31.7,10.0,13.0,15.0,left
2018020003,20,away,False,REG,Bill Peters,2.0,35.0,17.0,7.0,7.0,0.0,57.6,6.0,1.0,6.0,left
2018020003,23,home,True,REG,Travis Green,5.0,23.0,16.0,19.0,1.0,0.0,42.4,9.0,7.0,18.0,left
2018020004,24,away,True,REG,Randy Carlyle,5.0,15.0,25.0,6.0,3.0,2.0,48.3,6.0,9.0,16.0,right
2018020004,28,home,False,REG,Peter DeBoer,2.0,33.0,21.0,6.0,3.0,0.0,51.7,8.0,10.0,13.0,right
2018020001,8,away,False,OT,Claude Julien,2.0,36.0,34.0,6.0,4.0,1.0,41.3,10.0,5.0,16.0,left
2018020001,10,home,True,OT,Mike Babcock,3.0,26.0,18.0,8.0,3.0,1.0,58.7,21.0,5.0,24.0,left
2018020002,6,away,False,REG,Bruce Cassidy,0.0,25.0,28.0,32.0,2.0,0.0,68.3,3.0,5.0,12.0,left
2018020002,15,home,True,REG,Todd Reirden,7.0,37.0,16.0,14.0,6.0,4.0,31.7,10.0,13.0,15.0,left
2018020003,20,away,False,REG,Bill Peters,2.0,35.0,17.0,7.0,7.0,0.0,57.6,6.0,1.0,6.0,left
2018020003,23,home,True,REG,Travis Green,5.0,23.0,16.0,19.0,1.0,0.0,42.4,9.0,7.0,18.0,left
2018020004,24,away,True,REG,Randy Carlyle,5.0,15.0,25.0,6.0,3.0,2.0,48.3,6.0,9.0,16.0,right
2018020004,28,home,False,REG,Peter DeBoer,2.0,33.0,21.0,6.0,3.0,0.0,51.7,8.0,10.0,13.0,right
2018020005,6,away,True,REG,Bruce Cassidy,4.0,26.0,13.0,6.0,1.0,1.0,43.3,6.0,1.0,13.0,right
2018020005,7,home,False,REG,Phil Housley,0.0,32.0,25.0,4.0,2.0,0.0,56.7,19.0,1.0,8.0,right
2018020007,15,away,False,OT,Todd Reirden,6.0,36.0,32.0,12.0,2.0,0.0,47.1,6.0,5.0,18.0,right
2018020007,5,home,True,OT,Mike Sullivan,7.0,41.0,21.0,4.0,6.0,2.0,52.9,16.0,6.0,12.0,right
2018020008,2,away,True,OT,Barry Trotz,2.0,20.0,32.0,6.0,3.0,1.0,40.0,3.0,15.0,22.0,left
2018020008,12,home,False,OT,Rod Brind'Amour,1.0,46.0,29.0,6.0,3.0,0.0,60.0,14.0,13.0,8.0,left
2018020006,18,away,True,REG,Peter Laviolette,3.0,33.0,21.0,6.0,1.0,0.0,52.5,9.0,16.0,11.0,left
2018020006,3,home,False,REG,David Quinn,2.0,36.0,24.0,6.0,1.0,0.0,47.5,10.0,10.0,20.0,left
2018020009,16,away,True,OT,Joel Quenneville,4.0,43.0,17.0,6.0,3.0,0.0,47.4,17.0,3.0,16.0,right
2018020009,9,home,False,OT,Guy Boucher,3.0,25.0,22.0,6.0,3.0,1.0,52.6,13.0,9.0,18.0,right
2018020010,29,away,True,OT,John Tortorella,3.0,39.0,13.0,6.0,6.0,1.0,57.0,5.0,4.0,17.0,left
2018020010,17,home,False,OT,Jeff Blashill,2.0,20.0,20.0,12.0,3.0,1.0,43.0,16.0,5.0,20.0,left
2018020011,52,away,True,REG,Paul Maurice,5.0,25.0,20.0,8.0,2.0,1.0,41.8,4.0,10.0,11.0,right
2018020011,19,home,False,REG,Mike Yeo,1.0,42.0,18.0,4.0,4.0,0.0,58.2,5.0,7.0,13.0,right
2018020012,53,away,False,REG,Rick Tocchet,0.0,30.0,24.0,8.0,2.0,0.0,47.7,10.0,7.0,14.0,left
2018020012,25,home,True,REG,Jim Montgomery,3.0,25.0,31.0,8.0,2.0,0.0,52.3,13.0,5.0,15.0,left
2018020013,30,away,False,REG,Bruce Boudreau,1.0,21.0,26.0,10.0,3.0,0.0,55.9,2.0,2.0,13.0,left
2018020013,21,home,True,REG,Jared Bednar,4.0,40.0,20.0,10.0,3.0,1.0,44.1,5.0,5.0,17.0,left
2018020014,4,away,True,REG,Dave Hakstol,5.0,25.0,41.0,8.0,4.0,1.0,51.8,6.0,5.0,12.0,
2018020014,54,home,False,REG,Gerard Gallant,2.0,25.0,31.0,10.0,3.0,0.0,48.2,10.0,12.0,10.0,
2018020005,6,away,True,REG,Bruce Cassidy,4.0,26.0,13.0,6.0,1.0,1.0,43.3,6.0,1.0,13.0,right
2018020005,7,home,False,REG,Phil Housley,0.0,32.0,25.0,4.0,2.0,0.0,56.7,19.0,1.0,8.0,right
